CODE;DATE;population;GDP PER capita;human development indeks
AFG;19/10/2020;17.4772331;7.497754494;0.498
ALB;19/10/2020;14.87253667;9.376145531;0.785
DZA;19/10/2020;17.59630906;9.540639235;0.754
AND;19/10/2020;11.25499635;0;0.858
AGO;19/10/2020;17.3079574;8.668968767;0.581
AIA;19/10/2020;9.615938805;0;
ATG;19/10/2020;11.49198779;9.97538687;0.78
ARG;19/10/2020;17.62651421;9.848709615;0.825
ARM;19/10/2020;14.9017918;9.08109464;0.755
ABW;19/10/2020;11.5783948;10.49054565;
AUS;19/10/2020;17.05418434;10.70658069;0.939
AUT;19/10/2020;16.01344599;10.72407512;0.908
AZE;19/10/2020;16.13191719;9.670761927;0.757
BHS;19/10/2020;12.88219574;10.22983178;0.807
BHR;19/10/2020;14.34706955;10.67569323;0.846
BGD;19/10/2020;18.91957173;8.167347447;0.608
BRB;19/10/2020;12.56852934;9.739677672;0.8
BLR;19/10/2020;16.06145345;9.750800543;0.808
BLZ;19/10/2020;12.89325457;8.964997479;0.708
BEN;19/10/2020;16.31063137;7.632515461;0.515
BMU;19/10/2020;11.03928322;10.83307578;
BTN;19/10/2020;13.55623711;9.072065978;0.612
BOL;19/10/2020;16.27279152;8.837220811;0.693
BES;19/10/2020;10.1743159;0;
BIH;19/10/2020;15.00360243;9.368531023;0.768
BWA;19/10/2020;14.67061714;9.668231819;0.717
BRA;19/10/2020;19.17473208;9.554174869;0.759
VGB;19/10/2020;10.31682162;0;
BRN;19/10/2020;12.98879313;11.18176859;0.853
BGR;19/10/2020;15.75402845;9.828942169;0.813
BFA;19/10/2020;16.85541655;7.440206573;0.423
BDI;19/10/2020;16.29127395;6.554253865;0.417
KHM;19/10/2020;16.63205462;8.201130849;0.582
CMR;19/10/2020;17.09438451;8.121161251;0.556
CAN;19/10/2020;17.44628825;10.69234463;0.926
CPV;19/10/2020;13.22850199;8.735935712;0.654
CYM;19/10/2020;11.09315857;10.81783698;
CAF;19/10/2020;15.39030816;6.49411686;0.367
TCD;19/10/2020;16.61436742;7.477690778;0.404
CHL;19/10/2020;16.76604717;10.03306902;0.843
CHN;19/10/2020;21.08743924;9.636177357;0.752
COL;19/10/2020;17.74503716;9.492126271;0.747
